date,actual,svr,mlp,lr
2016-11-28,109.489998,111.079574955,111.863351108,111.438798024
2016-11-29,109.900002,111.603500136,111.790273523,112.689870703
2016-11-30,109.110001,111.458893323,111.290830955,112.956211317
2016-12-01,109.949997,110.522453759,109.347963715,113.160834927
2016-12-02,111.029999,109.743723343,109.626324426,111.101509795
2016-12-05,112.120003,109.176963964,108.115787691,111.619286952
2016-12-06,113.949997,108.878375208,107.823093128,111.29985141
2016-12-07,113.300003,109.588837134,109.508572863,110.895696955
2016-12-08,115.190002,111.248016216,111.266264811,112.516201397
2016-12-09,115.190002,113.251999188,112.763376469,115.210179448
2016-12-12,115.82,112.882638366,113.077550872,114.019012049
2016-12-13,115.970001,115.595270919,115.356013017,117.369071929
2016-12-14,116.639999,115.58718177,116.39500329,116.128070429
2016-12-15,116.949997,115.944951874,117.155681901,116.028235231
2016-12-16,117.059998,116.319966689,117.850733389,116.043997911
2016-12-19,116.290001,117.088126274,118.442058098,117.05609474
2016-12-20,116.519997,116.93353109,118.380214165,116.7851192
2016-12-21,117.260002,117.273400845,118.3839875,117.53644549
2016-12-22,116.760002,115.622647491,116.5746495,115.995470804
2016-12-23,116.730003,115.679576524,116.52147765,116.18465334
2016-12-27,115.82,116.096615373,116.815841436,116.765521333
2016-12-28,116.150002,115.787808427,116.036702729,116.99596555
2016-12-29,116.019997,115.84795438,115.593007994,117.651992882
2016-12-30,116.610001,115.045831135,114.811963035,116.78769414
2017-01-03,117.910004,115.66308097,114.937761425,118.012192339
2017-01-04,118.989998,115.124340374,114.920209926,116.834855724
2017-01-05,119.110001,116.195401427,115.611040689,118.403383847
2017-01-06,119.75,117.189776721,116.733703864,119.293068437
2017-01-09,119.25,118.648876664,118.077328739,120.95606276
2017-01-10,119.040001,118.449422441,117.946023644,120.667098184
2017-01-11,120.0,119.388784527,119.404979076,121.038594458
2017-01-12,119.989998,118.514360081,118.108396959,120.620367456
2017-01-13,119.779999,118.530839882,118.114189655,120.650194884
2017-01-17,120.0,118.94296162,118.234616443,121.424872996
2017-01-18,120.080002,119.318438206,118.511961469,121.933352118
2017-01-19,119.970001,119.266607675,117.577421526,122.918159986
2017-01-20,121.879997,119.670791742,118.342708051,122.916111405
2017-01-23,121.940002,119.339752995,119.059937393,121.335717719
2017-01-24,121.949997,118.825512502,119.044644051,120.210203837
2017-01-25,121.629997,120.663194503,120.632515487,122.427543699
2017-01-26,121.349998,120.299359404,120.505863296,121.767568557
2017-01-27,128.75,121.01950281,120.178598805,123.754179324
2017-01-30,128.529999,120.365536867,119.645561867,122.927403198
2017-01-31,129.080002,120.647712522,119.359845689,123.891198374
2017-02-01,130.289993,129.477947171,128.403039835,132.882077744
2017-02-02,131.529999,128.465943522,127.365850919,131.852579753
2017-02-03,132.039993,130.165380784,127.278810443,135.734073145
2017-02-06,132.419998,130.463472344,128.043163111,135.497206045
2017-02-07,132.119995,131.87134168,130.25992618,136.018492651
2017-02-08,133.289993,130.554634055,130.058073088,133.328136362
2017-02-09,135.020004,131.737818933,129.724870398,136.351401829
