Date,Actual,Day_1,Day_2,Day_3,Day_4,Day_5
2016-11-28,111.57,111.588128373,111.687909417,111.259609661,111.438798024,111.351437406
2016-11-29,111.459999,111.439336925,111.059438725,109.982203177,112.689870703,111.784198996
2016-11-30,110.519997,110.497646055,110.777973889,112.012409806,112.956211317,111.708276431
2016-12-01,109.489998,109.456974554,109.812050407,111.476671011,113.160834927,112.411112399
2016-12-02,109.900002,109.887626553,110.006061081,110.218751437,111.101509795,111.365449072
2016-12-05,109.110001,109.090413384,109.623137901,110.427741525,111.619286952,109.467228903
2016-12-06,109.949997,109.969654065,110.265689663,111.470156289,111.29985141,111.39522798
2016-12-07,111.029999,111.058018064,111.044086807,110.694536819,110.895696955,112.160542329
2016-12-08,112.120003,112.141976693,112.20138125,111.82813261,112.516201397,113.546618213
2016-12-09,113.949997,113.969564913,114.152711489,115.085563185,115.210179448,116.814980826
2016-12-12,113.300003,113.297992311,113.609817371,113.226924107,114.019012049,115.742538536
2016-12-13,115.190002,115.177067901,115.604306915,116.995255715,117.369071929,119.458402572
2016-12-14,115.190002,115.19004741,115.697295365,115.230090999,116.128070429,116.344523268
2016-12-15,115.82,115.821286302,116.129632668,115.887563674,116.028235231,115.715005826
2016-12-16,115.970001,115.990089015,116.472154706,115.654497453,116.043997911,115.74390663
2016-12-19,116.639999,116.648519458,116.945414773,115.919162468,117.05609474,116.047354316
2016-12-20,116.949997,116.956336539,117.259218973,116.865648466,116.7851192,116.80390987
2016-12-21,117.059998,117.054828562,117.554746441,117.22132237,117.53644549,116.727519271
2016-12-22,116.290001,116.267225137,116.783506276,116.93765799,115.995470804,116.860135077
2016-12-23,116.519997,116.480626977,116.972975783,117.220779039,116.18465334,116.32714756
2016-12-27,117.260002,117.244679737,117.780990859,117.639413825,116.765521333,117.181194412
2016-12-28,116.760002,116.73705964,117.475460169,118.064832107,116.99596555,118.247113866
2016-12-29,116.730003,116.725333588,117.256825596,117.650172616,117.651992882,119.0635955
2016-12-30,115.82,115.801656024,116.37540365,116.785241546,116.78769414,119.02435926
2017-01-03,116.150002,116.133262714,116.509593738,117.592325831,118.012192339,118.974269773
2017-01-04,116.019997,116.011922414,116.461684316,117.301664398,116.834855724,118.864763339
2017-01-05,116.610001,116.617953701,117.105665147,118.144679495,118.403383847,119.3263626
2017-01-06,117.910004,117.945373219,118.350916942,119.156290484,119.293068437,120.478527446
2017-01-09,118.989998,119.022597004,119.423331683,119.833539316,120.95606276,120.903077122
2017-01-10,119.110001,119.126939561,119.455689785,120.368758524,120.667098184,121.010277797
2017-01-11,119.75,119.76495055,120.092251005,120.699273805,121.038594458,120.51669694
2017-01-12,119.25,119.251394848,119.466182801,119.743584374,120.620367456,121.072463549
2017-01-13,119.040001,119.051554503,119.466894517,120.098439118,120.650194884,121.106253978
2017-01-17,120.0,120.028954175,120.242423606,120.730496691,121.424872996,122.431313235
2017-01-18,119.989998,120.020283469,120.509641749,121.426105869,121.933352118,123.516719158
2017-01-19,119.779999,119.797678636,120.148741858,121.595123601,122.918159986,124.600414864
2017-01-20,120.0,120.020466223,120.545667331,121.562678981,122.916111405,123.587081622
2017-01-23,120.080002,120.064794623,120.578979658,121.230240388,121.335717719,121.112424028
2017-01-24,119.970001,119.940913474,120.476183115,120.852161358,120.210203837,120.607814637
2017-01-25,121.879997,121.883860022,122.348112681,121.904213785,122.427543699,122.443003479
2017-01-26,121.940002,121.93360037,122.477972297,122.041785895,121.767568557,122.926187332
2017-01-27,121.949997,121.965083385,122.541083285,123.13427437,123.754179324,125.085435382
2017-01-30,121.629997,121.644216089,122.021949708,122.642039477,122.927403198,124.934191006
2017-01-31,121.349998,121.345619077,121.829191037,123.800671413,123.891198374,125.315510476
2017-02-01,128.75,128.686488764,129.109647566,129.717311934,132.882077744,131.03542772
2017-02-02,128.529999,128.442738562,128.966893854,129.275518627,131.852579753,133.325963183
2017-02-03,129.080002,128.954378726,129.75533242,132.4199863,135.734073145,134.727083204
2017-02-06,130.289993,130.175192134,130.783295732,132.140200885,135.497206045,134.465391882
2017-02-07,131.529999,131.434691017,131.606770271,132.485713694,136.018492651,133.826427556
2017-02-08,132.039993,131.826653249,132.287093903,133.345441065,133.328136362,134.250556544
2017-02-09,132.419998,132.266448843,132.860725132,133.018781055,136.351401829,136.110093537
