date,actual,pred
2016-11-28,111.57,
2016-11-29,111.459999,
2016-11-30,110.519997,
2016-12-01,109.489998,
2016-12-02,109.900002,
2016-12-05,109.110001,109.090413384
2016-12-06,109.949997,109.623137901
2016-12-07,111.029999,110.427741525
2016-12-08,112.120003,111.619286952
2016-12-09,113.949997,109.467228903
2016-12-12,113.300003,
2016-12-13,115.190002,
2016-12-14,115.190002,
2016-12-15,115.82,
2016-12-16,115.970001,
2016-12-19,116.639999,116.648519458
2016-12-20,116.949997,116.945414773
2016-12-21,117.059998,115.919162468
2016-12-22,116.290001,117.05609474
2016-12-23,116.519997,116.047354316
2016-12-27,117.260002,
2016-12-28,116.760002,
2016-12-29,116.730003,
2016-12-30,115.82,
2017-01-03,116.150002,
2017-01-04,116.019997,116.011922414
2017-01-05,116.610001,116.461684316
2017-01-06,117.910004,117.301664398
2017-01-09,118.989998,116.834855724
2017-01-10,119.110001,118.864763339
2017-01-11,119.75,
2017-01-12,119.25,
2017-01-13,119.040001,
2017-01-17,120.0,
2017-01-18,119.989998,
2017-01-19,119.779999,119.797678636
2017-01-20,120.0,120.148741858
2017-01-23,120.080002,121.595123601
2017-01-24,119.970001,122.918159986
2017-01-25,121.879997,124.600414864
2017-01-26,121.940002,
2017-01-27,121.949997,
2017-01-30,121.629997,
2017-01-31,121.349998,
2017-02-01,128.75,
2017-02-02,128.529999,128.442738562
2017-02-03,129.080002,128.966893854
2017-02-06,130.289993,129.275518627
2017-02-07,131.529999,131.852579753
2017-02-08,132.039993,133.325963183
2017-02-09,132.419998,
