date,actual,pred
2016-11-28,111.57,
2016-11-29,111.459999,
2016-11-30,110.519997,
2016-12-01,109.489998,
2016-12-02,109.900002,
2016-12-05,109.110001,109.311088508
2016-12-06,109.949997,109.399730806
2016-12-07,111.029999,108.717951665
2016-12-08,112.120003,108.115787691
2016-12-09,113.949997,108.692098342
2016-12-12,113.300003,
2016-12-13,115.190002,
2016-12-14,115.190002,
2016-12-15,115.82,
2016-12-16,115.970001,
2016-12-19,116.639999,116.747930123
2016-12-20,116.949997,116.591152581
2016-12-21,117.059998,117.631059732
2016-12-22,116.290001,118.442058098
2016-12-23,116.519997,118.517417753
2016-12-27,117.260002,
2016-12-28,116.760002,
2016-12-29,116.730003,
2016-12-30,115.82,
2017-01-03,116.150002,
2017-01-04,116.019997,116.149557814
2017-01-05,116.610001,116.23320367
2017-01-06,117.910004,115.070302154
2017-01-09,118.989998,114.920209926
2017-01-10,119.110001,114.374743289
2017-01-11,119.75,
2017-01-12,119.25,
2017-01-13,119.040001,
2017-01-17,120.0,
2017-01-18,119.989998,
2017-01-19,119.779999,119.67540336
2017-01-20,120.0,119.510756582
2017-01-23,120.080002,118.140914112
2017-01-24,119.970001,117.577421526
2017-01-25,121.879997,116.910874282
2017-01-26,121.940002,
2017-01-27,121.949997,
2017-01-30,121.629997,
2017-01-31,121.349998,
2017-02-01,128.75,
2017-02-02,128.529999,127.717152422
2017-02-03,129.080002,128.239545018
2017-02-06,130.289993,128.230353952
2017-02-07,131.529999,127.365850919
2017-02-08,132.039993,126.41319063
2017-02-09,132.419998,
