date,actual,pred
2016-11-28,111.57,
2016-11-29,111.459999,
2016-11-30,110.519997,
2016-12-01,109.489998,
2016-12-02,109.900002,
2016-12-05,109.110001,109.072747235
2016-12-06,109.949997,109.552357412
2016-12-07,111.029999,109.538854499
2016-12-08,112.120003,109.176963964
2016-12-09,113.949997,108.027944208
2016-12-12,113.300003,
2016-12-13,115.190002,
2016-12-14,115.190002,
2016-12-15,115.82,
2016-12-16,115.970001,
2016-12-19,116.639999,116.670836612
2016-12-20,116.949997,116.443535015
2016-12-21,117.059998,116.682373673
2016-12-22,116.290001,117.088126274
2016-12-23,116.519997,117.111952457
2016-12-27,117.260002,
2016-12-28,116.760002,
2016-12-29,116.730003,
2016-12-30,115.82,
2017-01-03,116.150002,
2017-01-04,116.019997,116.031971256
2017-01-05,116.610001,115.919565119
2017-01-06,117.910004,115.937634202
2017-01-09,118.989998,115.124340374
2017-01-10,119.110001,115.498037116
2017-01-11,119.75,
2017-01-12,119.25,
2017-01-13,119.040001,
2017-01-17,120.0,
2017-01-18,119.989998,
2017-01-19,119.779999,119.829937613
2017-01-20,120.0,119.591130264
2017-01-23,120.080002,119.459489635
2017-01-24,119.970001,119.266607675
2017-01-25,121.879997,119.442872462
2017-01-26,121.940002,
2017-01-27,121.949997,
2017-01-30,121.629997,
2017-01-31,121.349998,
2017-02-01,128.75,
2017-02-02,128.529999,128.502496256
2017-02-03,129.080002,127.850089233
2017-02-06,130.289993,128.19258882
2017-02-07,131.529999,128.465943522
2017-02-08,132.039993,129.164276359
2017-02-09,132.419998,
