date,actual,svr,mlp,lr
2016-11-28,743.650024,774.835773571,774.705087475,777.438765433
2016-11-29,740.340027,764.682591402,757.727439328,769.148723132
2016-11-30,759.359985,754.770555414,750.116643461,759.424908615
2016-12-01,764.719971,743.535756733,741.119897292,748.470812696
2016-12-02,770.419983,739.396352068,738.312360045,744.342548972
2016-12-05,767.330017,752.815546781,745.688053112,758.039590958
2016-12-06,768.659973,753.691499423,753.006200063,757.68994533
2016-12-07,760.119995,755.249905803,755.428723655,758.995737511
2016-12-08,774.340027,759.131562031,762.716120949,762.02016472
2016-12-09,768.820007,772.62934528,775.17106415,774.881260141
2016-12-12,761.0,767.0885262,767.967396241,769.982184289
2016-12-13,757.77002,791.076596849,788.395199059,793.149271185
2016-12-14,766.0,785.839487275,775.515003057,789.623238824
2016-12-15,771.219971,779.77575745,773.516837583,783.191150897
2016-12-16,770.599976,772.092415048,758.773517674,777.262576799
2016-12-19,766.340027,772.655108903,763.697384564,776.997432361
2016-12-20,760.590027,766.258787843,754.081282267,771.578470776
2016-12-21,771.400024,764.156944706,755.969888524,768.879367936
2016-12-22,772.130005,760.402885427,758.576391695,764.198033442
2016-12-23,765.150024,759.397850758,757.480289592,763.271099079
2016-12-27,749.869995,771.724242924,762.167252143,776.232577593
2016-12-28,753.669983,778.734450776,770.323780641,782.605046005
2016-12-29,757.179993,777.749152429,769.072812049,781.728403461
2016-12-30,780.450012,768.511534969,763.099595185,772.462497426
2017-01-03,795.98999,772.46448351,761.367608832,777.207633592
2017-01-04,796.919983,772.253847842,756.470286807,777.862499038
2017-01-05,795.900024,782.155839273,768.808401788,786.715059785
2017-01-06,799.02002,793.764818303,781.796375774,797.362411295
2017-01-09,813.640015,794.060080727,791.062172927,796.007670927
2017-01-10,817.140015,791.8493026,789.023932686,793.900859517
2017-01-11,809.719971,796.226124163,793.14853793,798.055593477
2017-01-12,807.47998,805.165850824,796.906263398,807.390698193
2017-01-13,809.039978,814.956229973,803.14938411,817.226980752
2017-01-17,808.330017,812.046004948,807.568203346,813.161629927
2017-01-18,817.880005,812.579261193,810.665944996,813.195704747
2017-01-19,822.440002,809.455122522,800.164325634,811.604957454
2017-01-20,836.52002,807.074826971,799.036655603,809.142517102
2017-01-23,839.150024,810.089179114,800.495272413,812.255335853
2017-01-24,835.77002,820.152235562,812.961660871,821.265065865
2017-01-25,830.380005,830.130510606,827.578937519,829.788490792
2017-01-26,823.47998,826.687433207,828.693889954,825.727016183
2017-01-27,832.349976,826.443836865,835.449992448,824.224944394
2017-01-30,839.950012,825.682945959,830.448546276,824.282083537
2017-01-31,810.200012,823.300371763,830.275028912,821.643509461
2017-02-01,807.640015,832.372051832,837.830197518,830.435660529
2017-02-02,812.5,838.754341911,843.180094707,836.615008384
2017-02-03,819.710022,807.66981749,819.49902103,806.086793922
2017-02-06,821.359985,805.916512002,813.351988385,805.240144205
2017-02-07,827.460022,805.932601377,805.085101434,806.762092795
2017-02-08,836.530029,811.865898835,816.23142125,811.383767721
2017-02-09,836.390015,811.234159248,813.299893484,811.209085317
