Date,Actual,Day_1,Day_2,Day_3,Day_4,Day_5
2016-11-28,766.77002,767.967627377,767.277981673,771.291519222,777.438765433,783.978526218
2016-11-29,762.52002,762.690046478,769.292331571,771.006436154,769.148723132,777.522134048
2016-11-30,750.570007,750.499265072,756.518654402,758.056210738,759.424908615,764.772592691
2016-12-01,743.650024,743.933032381,750.796525487,748.953254179,748.470812696,757.895327349
2016-12-02,740.340027,740.016673599,746.541723973,740.407760392,744.342548972,750.654347721
2016-12-05,759.359985,759.247935983,761.74222013,759.524623365,758.039590958,761.330345526
2016-12-06,764.719971,763.799020018,762.053025145,752.450274099,757.68994533,760.17970401
2016-12-07,770.419983,769.474282364,765.218156733,757.658513991,758.995737511,761.823398974
2016-12-08,767.330017,767.454595064,767.64791036,759.69422298,762.02016472,766.571342065
2016-12-09,768.659973,769.411314155,767.145124922,771.08666228,774.881260141,780.940667777
2016-12-12,760.119995,760.436332764,763.075382717,766.43907896,769.982184289,779.82836237
2016-12-13,774.340027,774.414619851,770.370299508,789.436229004,793.149271185,799.41055379
2016-12-14,768.820007,769.404601106,769.401804504,784.138655712,789.623238824,791.696484377
2016-12-15,761.0,761.461632883,763.861969411,776.976212762,783.191150897,786.411314459
2016-12-16,757.77002,758.109280878,766.706419345,774.335982942,777.262576799,777.366991167
2016-12-19,766.0,765.895678797,767.86654894,775.5837672,776.997432361,777.451349693
2016-12-20,771.219971,770.443079043,770.701244729,771.710779123,771.578470776,771.073977274
2016-12-21,770.599976,769.904056849,769.046639569,767.834408197,768.879367936,767.366341483
2016-12-22,766.340027,766.221835555,768.386357939,763.930486976,764.198033442,767.465001057
2016-12-23,760.590027,760.49015054,762.717103805,758.991194517,763.271099079,766.280627207
2016-12-27,771.400024,771.013666862,773.569089573,776.757247454,776.232577593,778.059934255
2016-12-28,772.130005,771.71568583,771.013362544,777.904028753,782.605046005,782.47879606
2016-12-29,765.150024,764.962651721,766.704367383,776.896889236,781.728403461,783.112844392
2016-12-30,749.869995,750.380886589,758.084647882,764.946184387,772.462497426,774.933299775
2017-01-03,753.669983,754.125064515,760.270537878,772.293246618,777.207633592,778.294952888
2017-01-04,757.179993,756.580715861,760.458246256,771.925021096,777.862499038,776.052048946
2017-01-05,780.450012,779.203091716,774.062352863,786.019179437,786.715059785,784.471958048
2017-01-06,795.98999,795.160058828,789.380028564,796.378871175,797.362411295,792.029435538
2017-01-09,796.919983,797.654763936,793.732751797,793.689868395,796.007670927,794.013842818
2017-01-10,795.900024,796.557617329,799.149279294,794.271716255,793.900859517,794.180721434
2017-01-11,799.02002,799.638794792,799.622777293,800.559393196,798.055593477,799.690306504
2017-01-12,813.640015,812.908102017,807.080542132,812.268265258,807.390698193,807.27834884
2017-01-13,817.140015,816.851881797,810.064248901,817.715680315,817.226980752,812.693648937
2017-01-17,809.719971,810.791210104,811.825960058,813.789139116,813.161629927,813.379664289
2017-01-18,807.47998,808.658249529,812.735755498,810.604468609,813.195704747,814.084783308
2017-01-19,809.039978,810.074278296,816.554762297,813.067387684,811.604957454,810.528930524
2017-01-20,808.330017,808.394545529,813.205720926,808.012992801,809.142517102,806.17794736
2017-01-23,817.880005,816.639090727,818.084596409,814.432035099,812.255335853,807.687091157
2017-01-24,822.440002,821.949251346,823.609544828,818.603203147,821.265065865,813.46403305
2017-01-25,836.52002,835.760755109,835.898019536,831.848736104,829.788490792,825.037908502
2017-01-26,839.150024,838.600114481,842.687600472,828.622279236,825.727016183,824.846108405
2017-01-27,835.77002,835.777567123,838.835210985,825.963343079,824.224944394,827.041544997
2017-01-30,830.380005,830.527580199,835.327513995,826.881694745,824.282083537,826.55220697
2017-01-31,823.47998,824.424165078,830.823897793,826.179305756,821.643509461,827.348625779
2017-02-01,832.349976,832.515287925,836.171889979,833.863672255,830.435660529,835.461733965
2017-02-02,839.950012,839.951568348,841.66369086,837.065466435,836.615008384,840.141764476
2017-02-03,810.200012,810.777737736,825.195636178,811.0337145,806.086793922,816.230389262
2017-02-06,807.640015,807.879931166,820.148047763,805.81505838,805.240144205,808.673734975
2017-02-07,812.5,812.762778559,823.489519186,810.101774768,806.762092795,807.201430779
2017-02-08,819.710022,818.815564227,821.62139552,812.761533206,811.383767721,814.147130498
2017-02-09,821.359985,820.24755097,824.329525124,810.727771914,811.209085317,811.71677408
