date,actual,pred
2016-11-28,766.77002,
2016-11-29,762.52002,
2016-11-30,750.570007,
2016-12-01,743.650024,
2016-12-02,740.340027,
2016-12-05,759.359985,759.247935983
2016-12-06,764.719971,761.74222013
2016-12-07,770.419983,759.524623365
2016-12-08,767.330017,758.039590958
2016-12-09,768.659973,761.330345526
2016-12-12,760.119995,
2016-12-13,774.340027,
2016-12-14,768.820007,
2016-12-15,761.0,
2016-12-16,757.77002,
2016-12-19,766.0,765.895678797
2016-12-20,771.219971,767.86654894
2016-12-21,770.599976,775.5837672
2016-12-22,766.340027,776.997432361
2016-12-23,760.590027,777.451349693
2016-12-27,771.400024,
2016-12-28,772.130005,
2016-12-29,765.150024,
2016-12-30,749.869995,
2017-01-03,753.669983,
2017-01-04,757.179993,756.580715861
2017-01-05,780.450012,760.458246256
2017-01-06,795.98999,771.925021096
2017-01-09,796.919983,777.862499038
2017-01-10,795.900024,776.052048946
2017-01-11,799.02002,
2017-01-12,813.640015,
2017-01-13,817.140015,
2017-01-17,809.719971,
2017-01-18,807.47998,
2017-01-19,809.039978,810.074278296
2017-01-20,808.330017,816.554762297
2017-01-23,817.880005,813.067387684
2017-01-24,822.440002,811.604957454
2017-01-25,836.52002,810.528930524
2017-01-26,839.150024,
2017-01-27,835.77002,
2017-01-30,830.380005,
2017-01-31,823.47998,
2017-02-01,832.349976,
2017-02-02,839.950012,839.951568348
2017-02-03,810.200012,841.66369086
2017-02-06,807.640015,837.065466435
2017-02-07,812.5,836.615008384
2017-02-08,819.710022,840.141764476
2017-02-09,821.359985,
