date,actual,pred
2016-11-28,766.77002,
2016-11-29,762.52002,
2016-11-30,750.570007,
2016-12-01,743.650024,
2016-12-02,740.340027,
2016-12-05,759.359985,762.535018104
2016-12-06,764.719971,762.539993789
2016-12-07,770.419983,747.830450504
2016-12-08,767.330017,745.688053112
2016-12-09,768.659973,744.91645647
2016-12-12,760.119995,
2016-12-13,774.340027,
2016-12-14,768.820007,
2016-12-15,761.0,
2016-12-16,757.77002,
2016-12-19,766.0,766.451151166
2016-12-20,771.219971,766.179614954
2016-12-21,770.599976,767.796664639
2016-12-22,766.340027,763.697384564
2016-12-23,760.590027,761.238574312
2016-12-27,771.400024,
2016-12-28,772.130005,
2016-12-29,765.150024,
2016-12-30,749.869995,
2017-01-03,753.669983,
2017-01-04,757.179993,751.556768579
2017-01-05,780.450012,758.636243591
2017-01-06,795.98999,758.252591727
2017-01-09,796.919983,756.470286807
2017-01-10,795.900024,756.270632997
2017-01-11,799.02002,
2017-01-12,813.640015,
2017-01-13,817.140015,
2017-01-17,809.719971,
2017-01-18,807.47998,
2017-01-19,809.039978,809.268403088
2017-01-20,808.330017,812.087916556
2017-01-23,817.880005,805.463326722
2017-01-24,822.440002,800.164325634
2017-01-25,836.52002,798.810009672
2017-01-26,839.150024,
2017-01-27,835.77002,
2017-01-30,830.380005,
2017-01-31,823.47998,
2017-02-01,832.349976,
2017-02-02,839.950012,840.056031142
2017-02-03,810.200012,835.653921675
2017-02-06,807.640015,841.703260023
2017-02-07,812.5,843.180094707
2017-02-08,819.710022,845.713856218
2017-02-09,821.359985,
