date,actual,pred
2016-11-28,766.77002,
2016-11-29,762.52002,
2016-11-30,750.570007,
2016-12-01,743.650024,
2016-12-02,740.340027,
2016-12-05,759.359985,759.845801573
2016-12-06,764.719971,753.049633171
2016-12-07,770.419983,756.853550698
2016-12-08,767.330017,752.815546781
2016-12-09,768.659973,752.468465444
2016-12-12,760.119995,
2016-12-13,774.340027,
2016-12-14,768.820007,
2016-12-15,761.0,
2016-12-16,757.77002,
2016-12-19,766.0,766.359668866
2016-12-20,771.219971,769.474456766
2016-12-21,770.599976,773.27521645
2016-12-22,766.340027,772.655108903
2016-12-23,760.590027,773.543712652
2016-12-27,771.400024,
2016-12-28,772.130005,
2016-12-29,765.150024,
2016-12-30,749.869995,
2017-01-03,753.669983,
2017-01-04,757.179993,756.926129844
2017-01-05,780.450012,765.800534811
2017-01-06,795.98999,769.889381347
2017-01-09,796.919983,772.253847842
2017-01-10,795.900024,773.791092739
2017-01-11,799.02002,
2017-01-12,813.640015,
2017-01-13,817.140015,
2017-01-17,809.719971,
2017-01-18,807.47998,
2017-01-19,809.039978,810.195098536
2017-01-20,808.330017,812.531135345
2017-01-23,817.880005,812.241000365
2017-01-24,822.440002,809.455122522
2017-01-25,836.52002,814.399904315
2017-01-26,839.150024,
2017-01-27,835.77002,
2017-01-30,830.380005,
2017-01-31,823.47998,
2017-02-01,832.349976,
2017-02-02,839.950012,839.899900776
2017-02-03,810.200012,835.299412521
2017-02-06,807.640015,836.325096716
2017-02-07,812.5,838.754341911
2017-02-08,819.710022,843.217608317
2017-02-09,821.359985,
