date,actual,svr,mlp,lr
2016-11-28,747.919983,766.224484039,761.745848904,773.867391881
2016-11-29,750.5,767.033032688,764.013779949,776.141508562
2016-11-30,762.52002,755.833677091,755.111976223,770.411983027
2016-12-01,759.109985,751.005854028,752.205011338,769.007179284
2016-12-02,771.190002,760.114210002,760.458870044,774.827807888
2016-12-05,776.419983,764.996980449,762.65284035,775.394545693
2016-12-06,789.289978,753.558874468,753.233779325,769.167995465
2016-12-07,789.27002,764.951995283,761.731898406,774.358239648
2016-12-08,796.099976,774.61283644,769.726462495,779.661999518
2016-12-09,797.070007,787.864983501,784.717276564,791.54415057
2016-12-12,797.849976,787.381965488,785.589383497,792.734851491
2016-12-13,790.799988,802.508715688,799.087097536,802.161184863
2016-12-14,794.200012,797.512789102,792.532781166,796.648128898
2016-12-15,796.419983,790.303979445,790.507268941,797.200662772
2016-12-16,794.559998,777.558317643,781.980402249,792.516211622
2016-12-19,791.26001,787.498755033,790.643677713,798.47410068
2016-12-20,789.909973,788.769290805,789.184240633,796.297410627
2016-12-21,791.549988,785.398183594,786.464147826,794.526330894
2016-12-22,785.049988,781.666107109,784.236297628,793.462502217
2016-12-23,782.789978,785.545612072,788.34992119,796.626299362
2016-12-27,771.820007,786.768477442,787.28497689,794.92018069
2016-12-28,786.140015,779.929603427,782.070536351,791.674935096
2016-12-29,786.900024,781.414084981,783.349917387,792.548220109
2016-12-30,794.02002,778.169996398,778.97999319,788.837950993
2017-01-03,806.150024,790.46851595,790.299001998,796.896721942
2017-01-04,806.650024,787.343420315,784.995753824,792.070662244
2017-01-05,804.789978,792.829491666,791.574660251,797.416648144
2017-01-06,807.909973,804.684591917,798.973979792,801.165070659
2017-01-09,806.359985,806.734796106,799.861693413,801.364684476
2017-01-10,807.880005,797.979734548,796.201807312,800.662167393
2017-01-11,804.609985,801.032517846,800.215709676,804.041084883
2017-01-12,806.070007,798.437904073,798.199710569,802.766729007
2017-01-13,802.174988,799.356441178,797.526762532,801.630547683
2017-01-17,805.02002,791.832469414,792.263392347,798.602157544
2017-01-18,819.309998,796.445123565,798.243458046,803.610508636
2017-01-19,823.869995,794.694146671,793.683675238,799.088215346
2017-01-20,835.669983,797.06333284,798.865970109,804.076886856
2017-01-23,832.150024,810.753173693,808.220221206,809.332408331
2017-01-24,823.309998,817.919329287,812.850359848,811.778437925
2017-01-25,802.320007,828.639848999,821.614992414,817.541655193
2017-01-26,796.789978,825.500237573,819.132657979,815.950540822
2017-01-27,795.695007,820.620837622,818.628888478,817.317271738
2017-01-30,798.530029,804.144383057,804.340467402,807.52336939
2017-01-31,801.48999,801.004016927,805.420038309,810.00994934
2017-02-01,801.340027,796.972871531,799.546949971,804.892449599
2017-02-02,806.969971,799.934155054,797.708786606,801.608818162
2017-02-03,808.380005,801.151831941,796.085880457,799.266054431
2017-02-06,809.559998,803.477015128,795.386698277,797.539591796
2017-02-07,813.669983,810.18723743,803.405979539,804.046842557
2017-02-08,819.23999,813.075860695,806.143665464,806.030229179
2017-02-09,820.450012,811.31348895,805.706888361,806.232172351
