Date,Actual,Day_1,Day_2,Day_3,Day_4,Day_5
2016-11-28,768.23999,768.262638055,768.356922148,770.804159132,773.867391881,781.831097414
2016-11-29,770.840027,770.796331078,772.841668472,776.805900399,776.141508562,784.698093029
2016-11-30,758.039978,757.761377076,761.052850421,763.898931309,770.411983027,779.980606042
2016-12-01,747.919983,747.679503732,751.1655822,757.726055721,769.007179284,777.400433256
2016-12-02,750.5,749.986190995,754.731622466,765.336834281,774.827807888,778.80284098
2016-12-05,762.52002,761.998169553,768.854848787,774.898203567,775.394545693,781.839459556
2016-12-06,759.109985,758.358499368,764.642477706,762.290705002,769.167995465,774.939329284
2016-12-07,771.190002,770.735287513,772.162406847,771.376723672,774.358239648,781.677746873
2016-12-08,776.419983,776.529445212,778.274348552,779.573385649,779.661999518,785.72980073
2016-12-09,789.289978,789.39202013,791.372863562,792.894081661,791.54415057,795.113546884
2016-12-12,789.27002,789.255708009,793.728408114,789.574448312,792.734851491,797.021532263
2016-12-13,796.099976,796.575647127,799.715102107,799.782269127,802.161184863,804.622775456
2016-12-14,797.070007,797.317785025,798.146816301,798.978046261,796.648128898,800.41054396
2016-12-15,797.849976,798.245533633,795.790617932,796.889300852,797.200662772,797.570683759
2016-12-16,790.799988,791.268519864,790.395542401,787.293463373,792.516211622,792.633114444
2016-12-19,794.200012,794.519060996,791.961975471,792.52069236,798.47410068,797.461502256
2016-12-20,796.419983,796.568808702,795.714374225,797.296834502,796.297410627,795.668570912
2016-12-21,794.559998,794.577791659,794.218060029,793.710987815,794.526330894,793.194607488
2016-12-22,791.26001,791.505808323,792.669273802,788.938555741,793.462502217,792.601282006
2016-12-23,789.909973,790.148627782,791.349901254,790.331566141,796.626299362,792.703259858
2016-12-27,791.549988,791.551755576,793.204688171,793.920920045,794.92018069,793.153766287
2016-12-28,785.049988,785.109360232,788.572044887,787.67543775,791.674935096,788.860701842
2016-12-29,782.789978,782.982001804,785.618042517,788.16468371,792.548220109,792.671646034
2016-12-30,771.820007,772.273510523,776.731873802,782.620996289,788.837950993,790.571817916
2017-01-03,786.140015,786.166323297,787.134491856,798.720851111,796.896721942,798.203418847
2017-01-04,786.900024,786.77463911,790.218501214,794.010078696,792.070662244,795.776737078
2017-01-05,794.02002,793.79058665,791.814934473,798.575984609,797.416648144,799.13257025
2017-01-06,806.150024,805.944662773,805.231347893,804.638016642,801.165070659,804.336969917
2017-01-09,806.650024,807.261698676,806.023795338,805.057477157,801.364684476,804.443778719
2017-01-10,804.789978,804.882736194,803.983738291,802.082960944,800.662167393,801.131812883
2017-01-11,807.909973,807.996135853,804.973447173,801.986351988,804.041084883,802.569630526
2017-01-12,806.359985,806.462545146,803.002837866,802.992529822,802.766729007,800.764979043
2017-01-13,807.880005,807.786351271,805.068291738,804.292814134,801.630547683,801.68930909
2017-01-17,804.609985,804.901635423,801.995829558,801.460241681,798.602157544,799.872751218
2017-01-18,806.070007,806.211923752,803.318590402,803.100762147,803.610508636,802.73276095
2017-01-19,802.174988,802.323481627,801.619265784,799.571510524,799.088215346,800.198607364
2017-01-20,805.02002,804.828467805,804.590188259,805.106734933,804.076886856,799.692338765
2017-01-23,819.309998,818.106256619,818.684399791,813.9763185,809.332408331,806.664731381
2017-01-24,823.869995,823.021473228,823.872724234,817.434343881,811.778437925,808.013041092
2017-01-25,835.669983,834.386999146,833.376688753,828.216173551,817.541655193,815.437733634
2017-01-26,832.150024,831.619180865,830.680819272,821.890725609,815.950540822,814.793058049
2017-01-27,823.309998,823.813715069,820.771629968,819.167801785,817.317271738,814.690122676
2017-01-30,802.320007,803.332436942,802.806592532,805.152839683,807.52336939,808.444202497
2017-01-31,796.789978,797.588627379,796.87831134,804.530759522,810.00994934,807.44249043
2017-02-01,795.695007,795.910629214,799.48118909,802.181430408,804.892449599,802.61012406
2017-02-02,798.530029,798.496994966,801.132986583,803.779089344,801.608818162,804.443671094
2017-02-03,801.48999,801.370449999,805.659722924,805.498554325,799.266054431,805.50164241
2017-02-06,801.340027,801.070810887,804.354032362,802.347972299,797.539591796,805.213859755
2017-02-07,806.969971,806.513844406,810.667060481,810.999816467,804.046842557,807.131857265
2017-02-08,808.380005,807.782852493,813.887473357,811.822165615,806.030229179,807.448028562
2017-02-09,809.559998,809.021905191,813.614753763,811.211453118,806.232172351,806.350786891
