date,actual,pred
2016-11-28,768.23999,
2016-11-29,770.840027,
2016-11-30,758.039978,
2016-12-01,747.919983,
2016-12-02,750.5,
2016-12-05,762.52002,761.998169553
2016-12-06,759.109985,768.854848787
2016-12-07,771.190002,774.898203567
2016-12-08,776.419983,775.394545693
2016-12-09,789.289978,781.839459556
2016-12-12,789.27002,
2016-12-13,796.099976,
2016-12-14,797.070007,
2016-12-15,797.849976,
2016-12-16,790.799988,
2016-12-19,794.200012,794.519060996
2016-12-20,796.419983,791.961975471
2016-12-21,794.559998,792.52069236
2016-12-22,791.26001,798.47410068
2016-12-23,789.909973,797.461502256
2016-12-27,791.549988,
2016-12-28,785.049988,
2016-12-29,782.789978,
2016-12-30,771.820007,
2017-01-03,786.140015,
2017-01-04,786.900024,786.77463911
2017-01-05,794.02002,790.218501214
2017-01-06,806.150024,794.010078696
2017-01-09,806.650024,792.070662244
2017-01-10,804.789978,795.776737078
2017-01-11,807.909973,
2017-01-12,806.359985,
2017-01-13,807.880005,
2017-01-17,804.609985,
2017-01-18,806.070007,
2017-01-19,802.174988,802.323481627
2017-01-20,805.02002,801.619265784
2017-01-23,819.309998,799.571510524
2017-01-24,823.869995,799.088215346
2017-01-25,835.669983,800.198607364
2017-01-26,832.150024,
2017-01-27,823.309998,
2017-01-30,802.320007,
2017-01-31,796.789978,
2017-02-01,795.695007,
2017-02-02,798.530029,798.496994966
2017-02-03,801.48999,801.132986583
2017-02-06,801.340027,803.779089344
2017-02-07,806.969971,801.608818162
2017-02-08,808.380005,804.443671094
2017-02-09,809.559998,
