date,actual,pred
2016-11-28,768.23999,
2016-11-29,770.840027,
2016-11-30,758.039978,
2016-12-01,747.919983,
2016-12-02,750.5,
2016-12-05,762.52002,762.385680938
2016-12-06,759.109985,765.825474523
2016-12-07,771.190002,767.543490437
2016-12-08,776.419983,764.996980449
2016-12-09,789.289978,763.886874255
2016-12-12,789.27002,
2016-12-13,796.099976,
2016-12-14,797.070007,
2016-12-15,797.849976,
2016-12-16,790.799988,
2016-12-19,794.200012,794.231110149
2016-12-20,796.419983,788.364411346
2016-12-21,794.559998,783.074341872
2016-12-22,791.26001,787.498755033
2016-12-23,789.909973,787.722303215
2016-12-27,791.549988,
2016-12-28,785.049988,
2016-12-29,782.789978,
2016-12-30,771.820007,
2017-01-03,786.140015,
2017-01-04,786.900024,786.586260829
2017-01-05,794.02002,786.394639436
2017-01-06,806.150024,789.751070972
2017-01-09,806.650024,787.343420315
2017-01-10,804.789978,785.0688627
2017-01-11,807.909973,
2017-01-12,806.359985,
2017-01-13,807.880005,
2017-01-17,804.609985,
2017-01-18,806.070007,
2017-01-19,802.174988,802.033770466
2017-01-20,805.02002,797.315492803
2017-01-23,819.309998,792.279402057
2017-01-24,823.869995,794.694146671
2017-01-25,835.669983,792.191218438
2017-01-26,832.150024,
2017-01-27,823.309998,
2017-01-30,802.320007,
2017-01-31,796.789978,
2017-02-01,795.695007,
2017-02-02,798.530029,798.547308198
2017-02-03,801.48999,796.237229259
2017-02-06,801.340027,797.100350161
2017-02-07,806.969971,799.934155054
2017-02-08,808.380005,799.550732931
2017-02-09,809.559998,
