date,actual,svr,mlp,lr
2016-11-28,160.020004,164.188826154,164.236551489,166.189337205
2016-11-29,159.839996,164.171515905,163.980027962,165.78350365
2016-11-30,160.350006,163.516264084,162.747860794,164.226854112
2016-12-01,164.789993,161.294126991,161.594514866,163.874092577
2016-12-02,165.360001,159.944454106,161.575334034,164.769298374
2016-12-05,166.520004,159.302442259,160.643951518,163.693349855
2016-12-06,165.5,160.076855475,160.850165586,163.497572062
2016-12-07,168.289993,164.410639987,164.277875274,166.104370745
2016-12-08,168.509995,166.052184346,165.299675775,166.641456561
2016-12-09,168.020004,166.412923864,165.365382618,166.500833734
2016-12-12,166.729996,165.278686296,163.893057979,164.881902882
2016-12-13,166.679993,167.240408131,166.83976547,168.333677008
2016-12-14,167.600006,167.666318165,166.826534629,168.019780111
2016-12-15,167.330002,168.33341135,167.767575831,169.094240286
2016-12-16,167.059998,167.196173312,167.088155301,168.768511506
2016-12-19,166.710007,166.142277903,166.578682365,168.6623127
2016-12-20,167.139999,166.186200158,166.808193342,169.005892835
2016-12-21,166.190002,166.300750343,166.60623176,168.598395069
2016-12-22,166.600006,166.998509306,166.957537794,168.691497739
2016-12-23,165.990005,166.934514438,166.400675087,167.828645555
2016-12-27,167.190002,167.271206506,166.360018195,167.531329644
2016-12-28,169.259995,165.976646421,166.394571902,168.476204836
2016-12-29,168.699997,165.959720914,166.676722243,168.947268393
2016-12-30,169.529999,166.231972951,166.727681339,168.843370125
2017-01-03,167.649994,167.035817246,167.579366212,169.678456618
2017-01-04,165.520004,169.114786961,168.832734714,170.292364684
2017-01-05,167.75,169.080079741,168.379415953,169.578016958
2017-01-06,167.949997,168.590095355,168.145608307,169.53362518
2017-01-09,167.339996,166.700996918,166.873304047,168.758551662
2017-01-10,167.889999,164.779125361,166.084705404,168.793626662
2017-01-11,166.800003,165.870802599,167.026503869,169.577877946
2017-01-12,166.809998,166.419148165,167.262585352,169.585912231
2017-01-13,170.550003,166.742510973,167.460629909,169.686440408
2017-01-17,171.029999,166.985477857,167.019319478,168.801046293
2017-01-18,175.899994,165.935675637,166.990375835,169.474518083
2017-01-19,178.289993,165.525798229,166.129445493,168.353950699
2017-01-20,178.660004,167.824896152,168.229226281,170.195032564
2017-01-23,177.300003,169.611051357,169.667578259,171.311155515
2017-01-24,175.800003,174.891778772,172.517518368,172.327132309
2017-01-25,174.520004,177.37863733,174.160463709,173.295434109
2017-01-26,174.289993,175.945185333,175.642463487,176.692627173
2017-01-27,174.580002,173.28349232,174.250654584,176.253278265
2017-01-30,175.820007,171.194510673,174.135737208,177.500063996
2017-01-31,175.860001,172.089878384,173.976556019,176.626261656
2017-02-01,178.460007,173.423905086,173.786411621,175.400936426
2017-02-02,176.169998,174.564535359,174.490717078,175.764858623
2017-02-03,177.210007,176.396753219,175.053874639,175.424221659
2017-02-06,178.679993,176.478987163,174.576760484,174.590855709
2017-02-07,179.360001,178.050749706,176.619477453,176.838272331
2017-02-08,180.130005,177.082961164,175.507092978,175.691204252
2017-02-09,181.679993,176.844799142,176.422226452,177.34486019
