Date,Actual,Day_1,Day_2,Day_3,Day_4,Day_5
2016-11-28,164.520004,164.446716999,163.939666555,164.848949408,165.597617975,166.189337205
2016-11-29,163.529999,163.500448109,163.883427792,164.446908977,165.395091916,165.78350365
2016-11-30,162.220001,162.232763754,162.945555521,162.75026029,163.682376729,164.226854112
2016-12-01,159.820007,159.833247942,160.996391759,161.929668367,162.566892538,163.874092577
2016-12-02,160.020004,159.941360349,160.71214225,162.509144371,162.983535245,164.769298374
2016-12-05,159.839996,159.778126808,160.648906653,161.648973897,162.803050207,163.693349855
2016-12-06,160.350006,160.270421857,160.837449189,161.56394162,162.943627979,163.497572062
2016-12-07,164.789993,164.707131347,164.463435106,164.896635551,165.290860257,166.104370745
2016-12-08,165.360001,165.376809638,165.648983813,166.249544272,165.820917853,166.641456561
2016-12-09,166.520004,166.48937296,166.491954453,166.004903031,165.885884727,166.500833734
2016-12-12,165.5,165.530640206,165.422536254,165.130872399,165.224253167,164.881902882
2016-12-13,168.289993,168.300771694,167.517925446,168.145394526,168.623424096,168.333677008
2016-12-14,168.509995,168.497346377,167.951739086,168.053756997,168.507748722,168.019780111
2016-12-15,168.020004,168.058483642,168.159373537,168.191720669,168.536986256,169.094240286
2016-12-16,166.729996,166.777479691,167.46634969,167.820177923,167.440820131,168.768511506
2016-12-19,166.679993,166.75181641,167.247131683,168.014374337,167.654687677,168.6623127
2016-12-20,167.600006,167.571493293,168.143670276,168.47062775,168.607520741,169.005892835
2016-12-21,167.330002,167.294170473,167.579296372,167.445208299,167.683287074,168.598395069
2016-12-22,167.059998,167.083563599,167.721757603,167.639675571,168.141305505,168.691497739
2016-12-23,166.710007,166.759655747,167.199710679,167.293528773,167.384413133,167.828645555
2016-12-27,167.139999,167.186012996,167.65743545,166.761990328,167.204256288,167.531329644
2016-12-28,166.190002,166.191045771,166.667039312,166.963709696,167.467724593,168.476204836
2016-12-29,166.600006,166.58566697,166.888102987,167.235953773,168.046820078,168.947268393
2016-12-30,165.990005,166.003897233,166.577648205,167.732477874,168.088293872,168.843370125
2017-01-03,167.190002,167.233104791,167.537408128,168.328477617,168.508592624,169.678456618
2017-01-04,169.259995,169.221475499,169.312872284,170.041379644,169.381708975,170.292364684
2017-01-05,168.699997,168.67283343,169.091860734,169.984826413,169.03362952,169.578016958
2017-01-06,169.529999,169.517466767,169.643794458,170.036415465,169.801063499,169.53362518
2017-01-09,167.649994,167.787607329,168.185226264,168.515770317,168.936764994,168.758551662
2017-01-10,165.520004,165.607968713,166.36934188,166.894532637,168.021165923,168.793626662
2017-01-11,167.75,167.711721021,167.604529526,168.154817967,169.093613685,169.577877946
2017-01-12,167.949997,167.977324557,168.138424357,168.365331568,169.809143996,169.585912231
2017-01-13,167.339996,167.344521644,167.984055537,168.374918118,169.154599536,169.686440408
2017-01-17,167.889999,167.93993178,168.457389618,168.118607948,168.378038934,168.801046293
2017-01-18,166.800003,166.92528141,167.663577089,168.188279487,168.648001689,169.474518083
2017-01-19,166.809998,166.782017539,167.147594633,167.635185538,168.046912542,168.353950699
2017-01-20,170.550003,170.485887753,169.892261842,169.997468978,171.252679028,170.195032564
2017-01-23,171.029999,171.032951106,170.740426355,170.685573368,171.849595089,171.311155515
2017-01-24,175.899994,175.709828849,174.825851862,174.090130247,173.051715061,172.327132309
2017-01-25,178.289993,178.145284606,177.756209238,176.355533905,173.850203907,173.295434109
2017-01-26,178.660004,178.606836231,178.268253663,177.335095788,175.780597291,176.692627173
2017-01-27,177.300003,177.335918028,177.201817346,176.866957117,176.283186176,176.253278265
2017-01-30,175.800003,176.008563423,175.896935333,176.488678211,177.97908488,177.500063996
2017-01-31,174.520004,174.560197061,174.841176892,174.960343157,176.256597889,176.626261656
2017-02-01,174.289993,174.274835595,174.78336229,175.233284809,175.341715003,175.400936426
2017-02-02,174.580002,174.528252712,175.599376361,175.46698038,175.21975388,175.764858623
2017-02-03,175.820007,175.756193265,176.459145728,176.327699938,174.33787117,175.424221659
2017-02-06,175.860001,175.870870607,176.959275252,176.362153299,174.360424129,174.590855709
2017-02-07,178.460007,178.277713593,178.547920643,178.249665265,176.194321881,176.838272331
2017-02-08,176.169998,176.151511054,176.978798001,176.1051091,174.620856222,175.691204252
2017-02-09,177.210007,177.086737099,177.240879574,177.574465617,177.181010839,177.34486019
