date,actual,pred
2016-11-28,164.520004,
2016-11-29,163.529999,
2016-11-30,162.220001,
2016-12-01,159.820007,
2016-12-02,160.020004,
2016-12-05,159.839996,159.778126808
2016-12-06,160.350006,160.648906653
2016-12-07,164.789993,161.648973897
2016-12-08,165.360001,162.803050207
2016-12-09,166.520004,163.693349855
2016-12-12,165.5,
2016-12-13,168.289993,
2016-12-14,168.509995,
2016-12-15,168.020004,
2016-12-16,166.729996,
2016-12-19,166.679993,166.75181641
2016-12-20,167.600006,167.247131683
2016-12-21,167.330002,168.014374337
2016-12-22,167.059998,167.654687677
2016-12-23,166.710007,168.6623127
2016-12-27,167.139999,
2016-12-28,166.190002,
2016-12-29,166.600006,
2016-12-30,165.990005,
2017-01-03,167.190002,
2017-01-04,169.259995,169.221475499
2017-01-05,168.699997,169.312872284
2017-01-06,169.529999,170.041379644
2017-01-09,167.649994,169.381708975
2017-01-10,165.520004,170.292364684
2017-01-11,167.75,
2017-01-12,167.949997,
2017-01-13,167.339996,
2017-01-17,167.889999,
2017-01-18,166.800003,
2017-01-19,166.809998,166.782017539
2017-01-20,170.550003,167.147594633
2017-01-23,171.029999,167.635185538
2017-01-24,175.899994,168.046912542
2017-01-25,178.289993,168.353950699
2017-01-26,178.660004,
2017-01-27,177.300003,
2017-01-30,175.800003,
2017-01-31,174.520004,
2017-02-01,174.289993,
2017-02-02,174.580002,174.528252712
2017-02-03,175.820007,175.599376361
2017-02-06,175.860001,175.46698038
2017-02-07,178.460007,175.21975388
2017-02-08,176.169998,175.764858623
2017-02-09,177.210007,
