date,actual,pred
2016-11-28,164.520004,
2016-11-29,163.529999,
2016-11-30,162.220001,
2016-12-01,159.820007,
2016-12-02,160.020004,
2016-12-05,159.839996,159.843702482
2016-12-06,160.350006,160.262947463
2016-12-07,164.789993,160.466058956
2016-12-08,165.360001,160.034559193
2016-12-09,166.520004,160.643951518
2016-12-12,165.5,
2016-12-13,168.289993,
2016-12-14,168.509995,
2016-12-15,168.020004,
2016-12-16,166.729996,
2016-12-19,166.679993,166.71905475
2016-12-20,167.600006,166.700552221
2016-12-21,167.330002,167.071517778
2016-12-22,167.059998,166.753454734
2016-12-23,166.710007,166.578682365
2016-12-27,167.139999,
2016-12-28,166.190002,
2016-12-29,166.600006,
2016-12-30,165.990005,
2017-01-03,167.190002,
2017-01-04,169.259995,168.674816915
2017-01-05,168.699997,168.7899077
2017-01-06,169.529999,169.142376664
2017-01-09,167.649994,169.022162477
2017-01-10,165.520004,168.832734714
2017-01-11,167.75,
2017-01-12,167.949997,
2017-01-13,167.339996,
2017-01-17,167.889999,
2017-01-18,166.800003,
2017-01-19,166.809998,166.540915136
2017-01-20,170.550003,166.605024979
2017-01-23,171.029999,166.639462973
2017-01-24,175.899994,166.328117094
2017-01-25,178.289993,166.129445493
2017-01-26,178.660004,
2017-01-27,177.300003,
2017-01-30,175.800003,
2017-01-31,174.520004,
2017-02-01,174.289993,
2017-02-02,174.580002,174.883807035
2017-02-03,175.820007,175.132175859
2017-02-06,175.860001,174.316816074
2017-02-07,178.460007,174.461148954
2017-02-08,176.169998,174.490717078
2017-02-09,177.210007,
