date,actual,pred
2016-11-28,164.520004,
2016-11-29,163.529999,
2016-11-30,162.220001,
2016-12-01,159.820007,
2016-12-02,160.020004,
2016-12-05,159.839996,159.86215268
2016-12-06,160.350006,159.828657
2016-12-07,164.789993,159.734185825
2016-12-08,165.360001,159.503361566
2016-12-09,166.520004,159.302442259
2016-12-12,165.5,
2016-12-13,168.289993,
2016-12-14,168.509995,
2016-12-15,168.020004,
2016-12-16,166.729996,
2016-12-19,166.679993,166.76899807
2016-12-20,167.600006,167.303486732
2016-12-21,167.330002,166.88133481
2016-12-22,167.059998,167.125804652
2016-12-23,166.710007,166.142277903
2016-12-27,167.139999,
2016-12-28,166.190002,
2016-12-29,166.600006,
2016-12-30,165.990005,
2017-01-03,167.190002,
2017-01-04,169.259995,169.21436551
2017-01-05,168.699997,168.540727369
2017-01-06,169.529999,169.024792718
2017-01-09,167.649994,169.602463285
2017-01-10,165.520004,169.114786961
2017-01-11,167.75,
2017-01-12,167.949997,
2017-01-13,167.339996,
2017-01-17,167.889999,
2017-01-18,166.800003,
2017-01-19,166.809998,166.798640868
2017-01-20,170.550003,167.167043662
2017-01-23,171.029999,166.298800112
2017-01-24,175.899994,165.878331411
2017-01-25,178.289993,165.525798229
2017-01-26,178.660004,
2017-01-27,177.300003,
2017-01-30,175.800003,
2017-01-31,174.520004,
2017-02-01,174.289993,
2017-02-02,174.580002,174.471539587
2017-02-03,175.820007,172.546227057
2017-02-06,175.860001,173.263900785
2017-02-07,178.460007,173.6830984
2017-02-08,176.169998,174.564535359
2017-02-09,177.210007,
