date,actual,pred
2016-11-28,4.26,
2016-11-29,4.29,
2016-11-30,4.3,
2016-12-01,4.25,
2016-12-02,4.23,
2016-12-05,4.51,4.50979723836
2016-12-06,4.57,4.51143300723
2016-12-07,4.7,4.59861006037
2016-12-08,4.58,4.63391475791
2016-12-09,4.62,4.61619944986
2016-12-12,4.63,
2016-12-13,4.74,
2016-12-14,4.7,
2016-12-15,4.72,
2016-12-16,4.88,
2016-12-19,4.89,4.90504769164
2016-12-20,4.9,4.86249847242
2016-12-21,4.76,4.80918533143
2016-12-22,4.72,4.77167944027
2016-12-23,4.88,4.76664132682
2016-12-27,4.91,
2016-12-28,4.8,
2016-12-29,4.83,
2016-12-30,4.81,
2017-01-03,4.77,
2017-01-04,4.84,4.82959532702
2017-01-05,4.9,4.79919746954
2017-01-06,4.92,4.80102915947
2017-01-09,4.83,4.77313371506
2017-01-10,4.84,4.79633536732
2017-01-11,4.78,
2017-01-12,4.7,
2017-01-13,4.75,
2017-01-17,4.74,
2017-01-18,4.69,
2017-01-19,4.74,4.71955610891
2017-01-20,4.76,4.75388404061
2017-01-23,4.68,4.73550446918
2017-01-24,4.67,4.75006568028
2017-01-25,4.62,4.75727220907
2017-01-26,4.72,
2017-01-27,4.64,
2017-01-30,4.54,
2017-01-31,4.52,
2017-02-01,4.57,
2017-02-02,4.82,4.79079917099
2017-02-03,4.83,4.83477906912
2017-02-06,4.75,4.78910933926
2017-02-07,4.86,4.77292106683
2017-02-08,4.88,4.76314990484
2017-02-09,4.89,
