date,actual,pred
2016-11-28,4.26,
2016-11-29,4.29,
2016-11-30,4.3,
2016-12-01,4.25,
2016-12-02,4.23,
2016-12-05,4.51,4.51006603297
2016-12-06,4.57,4.57560363302
2016-12-07,4.7,4.66406231384
2016-12-08,4.58,4.60919920508
2016-12-09,4.62,4.32206484681
2016-12-12,4.63,
2016-12-13,4.74,
2016-12-14,4.7,
2016-12-15,4.72,
2016-12-16,4.88,
2016-12-19,4.89,5.00101073581
2016-12-20,4.9,4.94446402642
2016-12-21,4.76,4.96835903196
2016-12-22,4.72,4.85754923588
2016-12-23,4.88,4.13439973074
2016-12-27,4.91,
2016-12-28,4.8,
2016-12-29,4.83,
2016-12-30,4.81,
2017-01-03,4.77,
2017-01-04,4.84,4.78580072937
2017-01-05,4.9,4.76355760973
2017-01-06,4.92,4.74933124609
2017-01-09,4.83,4.71267776282
2017-01-10,4.84,4.29335359487
2017-01-11,4.78,
2017-01-12,4.7,
2017-01-13,4.75,
2017-01-17,4.74,
2017-01-18,4.69,
2017-01-19,4.74,4.727836008
2017-01-20,4.76,4.72361072236
2017-01-23,4.68,4.72073719241
2017-01-24,4.67,4.67527919483
2017-01-25,4.62,4.33243528116
2017-01-26,4.72,
2017-01-27,4.64,
2017-01-30,4.54,
2017-01-31,4.52,
2017-02-01,4.57,
2017-02-02,4.82,4.81280375685
2017-02-03,4.83,4.82143009274
2017-02-06,4.75,4.79094145768
2017-02-07,4.86,4.74335763545
2017-02-08,4.88,4.2850034444
2017-02-09,4.89,
