date,actual,pred
2016-11-28,4.26,
2016-11-29,4.29,
2016-11-30,4.3,
2016-12-01,4.25,
2016-12-02,4.23,
2016-12-05,4.51,4.5264274257
2016-12-06,4.57,4.26756476161
2016-12-07,4.7,4.37267857987
2016-12-08,4.58,4.20620205321
2016-12-09,4.62,4.35677910454
2016-12-12,4.63,
2016-12-13,4.74,
2016-12-14,4.7,
2016-12-15,4.72,
2016-12-16,4.88,
2016-12-19,4.89,4.93111675222
2016-12-20,4.9,4.73022352382
2016-12-21,4.76,4.66875917834
2016-12-22,4.72,4.38957970083
2016-12-23,4.88,4.5227705042
2016-12-27,4.91,
2016-12-28,4.8,
2016-12-29,4.83,
2016-12-30,4.81,
2017-01-03,4.77,
2017-01-04,4.84,4.84781046274
2017-01-05,4.9,4.75910126308
2017-01-06,4.92,4.78694956594
2017-01-09,4.83,4.70539503738
2017-01-10,4.84,4.65924304199
2017-01-11,4.78,
2017-01-12,4.7,
2017-01-13,4.75,
2017-01-17,4.74,
2017-01-18,4.69,
2017-01-19,4.74,4.73906470362
2017-01-20,4.76,4.69186108131
2017-01-23,4.68,4.65346723416
2017-01-24,4.67,4.66578015583
2017-01-25,4.62,4.61103786407
2017-01-26,4.72,
2017-01-27,4.64,
2017-01-30,4.54,
2017-01-31,4.52,
2017-02-01,4.57,
2017-02-02,4.82,4.8118335532
2017-02-03,4.83,4.7858813554
2017-02-06,4.75,4.73338000775
2017-02-07,4.86,4.63900646402
2017-02-08,4.88,4.59630452452
2017-02-09,4.89,
