Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,7.970000,8.030000,7.930000,8.010000,8.010000,7918100
2015-01-05,7.740000,7.750000,7.590000,7.660000,7.660000,13274100
2015-01-06,7.590000,7.640000,7.460000,7.540000,7.540000,12899300
2015-01-07,7.540000,7.600000,7.500000,7.560000,7.560000,11571800
2015-01-08,7.540000,7.660000,7.530000,7.600000,7.600000,11394800
2015-01-09,7.570000,7.580000,7.490000,7.550000,7.550000,8303000
2015-01-12,7.570000,7.570000,7.470000,7.520000,7.520000,5049800
2015-01-13,7.570000,7.620000,7.400000,7.460000,7.460000,9635800
2015-01-14,7.650000,7.710000,7.550000,7.700000,7.700000,22114300
2015-01-15,7.470000,7.510000,7.410000,7.430000,7.430000,13794100
2015-01-16,7.450000,7.570000,7.410000,7.560000,7.560000,8478500
2015-01-20,7.680000,7.700000,7.570000,7.670000,7.670000,11814600
2015-01-21,7.650000,7.740000,7.610000,7.710000,7.710000,7095400
2015-01-22,7.810000,7.920000,7.780000,7.870000,7.870000,13248200
2015-01-23,7.990000,8.050000,7.890000,7.900000,7.900000,10392100
2015-01-26,7.950000,8.020000,7.910000,8.000000,8.000000,20090600
2015-01-27,8.020000,8.050000,7.940000,8.010000,8.010000,12502600
2015-01-28,8.120000,8.130000,7.880000,7.890000,7.890000,28758900
2015-01-29,7.870000,7.880000,7.640000,7.750000,7.750000,25483200
2015-01-30,7.720000,7.750000,7.600000,7.600000,7.600000,15509400
2015-02-02,7.580000,7.620000,7.490000,7.600000,7.600000,14713800
2015-02-03,7.780000,7.880000,7.730000,7.870000,7.870000,10988200
2015-02-04,7.740000,7.790000,7.690000,7.690000,7.690000,8460000
2015-02-05,7.760000,7.850000,7.750000,7.820000,7.820000,7253700
2015-02-06,7.820000,7.820000,7.630000,7.650000,7.650000,9419000
2015-02-09,7.510000,7.570000,7.500000,7.540000,7.540000,10208500
2015-02-10,7.750000,7.780000,7.710000,7.770000,7.770000,11278800
2015-02-11,7.780000,7.870000,7.750000,7.840000,7.840000,12543000
2015-02-12,7.940000,8.000000,7.910000,7.970000,7.970000,8423400
2015-02-13,8.010000,8.060000,7.980000,8.020000,8.020000,9556500
2015-02-17,7.980000,8.090000,7.950000,8.040000,8.040000,10239500
2015-02-18,8.040000,8.070000,7.980000,8.030000,8.030000,9887600
2015-02-19,8.050000,8.090000,8.020000,8.030000,8.030000,10335000
2015-02-20,7.960000,8.080000,7.930000,8.070000,8.070000,11976500
2015-02-23,7.960000,8.000000,7.930000,7.970000,7.970000,10335300
2015-02-24,7.950000,8.010000,7.920000,8.010000,8.010000,4808300
2015-02-25,8.010000,8.060000,8.010000,8.020000,8.020000,5702200
2015-02-26,8.020000,8.050000,7.970000,8.010000,8.010000,8367300
2015-02-27,7.960000,8.050000,7.910000,8.010000,8.010000,6413900
2015-03-02,8.010000,8.090000,8.010000,8.080000,8.080000,5811000
2015-03-03,8.090000,8.140000,8.000000,8.060000,8.060000,12508100
2015-03-04,8.000000,8.080000,7.950000,8.050000,8.050000,11348000
2015-03-05,8.050000,8.070000,8.010000,8.060000,8.060000,19748900
2015-03-06,7.950000,7.970000,7.810000,7.830000,7.830000,18332800
